Date, Open, High, Low, Close, Volume
01/24/19, 320.60, 331.80, 319.00, 326.67, 11131630
01/23/19, 328.25, 331.75, 318.60, 321.99, 13480140
01/22/19, 334.89, 336.88, 321.03, 325.16, 17941420
01/18/19, 351.97, 353.00, 336.73, 339.10, 26621039
01/17/19, 349.50, 355.79, 346.41, 353.19, 18871199
01/16/19, 354.00, 358.85, 348.11, 351.39, 15385550
01/15/19, 349.60, 357.22, 347.00, 354.64, 21181230
01/14/19, 334.24, 335.48, 329.13, 332.94, 10499580
01/11/19, 330.96, 341.09, 328.52, 337.59, 19500430
01/10/19, 314.57, 325.37, 312.50, 324.66, 13472480
01/09/19, 317.71, 323.3508, 313.50, 319.96, 13343150
01/08/19, 319.98, 320.593, 308.01, 320.27, 15359180
01/07/19, 302.10, 316.80, 301.65, 315.34, 18620119
01/04/19, 281.88, 297.80, 278.54, 297.57, 19330100
01/03/19, 270.20, 275.79, 264.43, 271.20, 14969650
01/02/19, 259.28, 269.7499, 256.58, 267.66, 11679530
12/31/18, 260.16, 270.1001, 260.00, 267.66, 13508920
12/28/18, 257.94, 261.9144, 249.80, 256.08, 10987290
12/27/18, 250.11, 255.59, 240.10, 255.565, 12235220
12/26/18, 233.92, 254.50, 231.23, 253.67, 14402740
12/24/18, 242.00, 250.65, 233.68, 233.88, 9547616
12/21/18, 263.83, 264.50, 241.29, 246.39, 21397600
12/20/18, 264.64, 269.90, 251.88, 260.58, 16792930
12/19/18, 269.96, 280.87, 263.77, 266.77, 13788450
12/18/18, 263.30, 275.75, 263.29, 270.94, 10350080
12/17/18, 266.51, 272.98, 261.075, 262.80, 9634734
12/14/18, 271.81, 277.6665, 265.00, 266.84, 9915319
12/13/18, 277.64, 279.32, 271.85, 276.02, 8379292
12/12/18, 267.66, 281.7695, 266.48, 274.88, 11456720
12/11/18, 274.08, 274.50, 262.76, 265.32, 9843199
12/10/18, 264.19, 271.18, 260.6094, 269.70, 9605553
12/07/18, 282.48, 284.209, 263.38, 265.14, 12466710
12/06/18, 268.33, 283.22, 267.14, 282.88, 13074320
12/04/18, 288.13, 295.74, 274.72, 275.33, 12800590
12/03/18, 293.19, 298.72, 284.58, 290.30, 14117370
11/30/18, 288.00, 290.81, 283.061, 286.13, 11860120
11/29/18, 282.32, 290.49, 275.50, 288.75, 15431540
11/28/18, 271.98, 284.00, 263.34, 282.65, 14801330
11/27/18, 259.24, 269.08, 256.14, 266.63, 11149500
11/26/18, 260.55, 266.25, 253.80, 261.43, 12498560
11/23/18, 260.11, 265.50, 256.84, 258.82, 5245123
11/21/18, 274.42, 275.34, 261.51, 262.13, 11023040
11/20/18, 254.63, 276.34, 250.00, 266.98, 16693811
11/19/18, 283.79, 285.09, 269.15, 270.60, 12993800
11/16/18, 287.14, 291.72, 281.00, 286.21, 9099485
11/15/18, 285.51, 292.50, 282.16, 290.06, 9967098
11/14/18, 300.40, 301.84, 278.2969, 286.73, 16853570
11/13/18, 295.00, 303.55, 289.10, 294.40, 12232160
11/12/18, 300.00, 302.49, 290.63, 294.07, 10924830
11/09/18, 311.07, 312.98, 298.01, 303.47, 13480790
11/08/18, 328.00, 332.0499, 316.6103, 317.92, 11023850
11/07/18, 312.90, 328.56, 311.00, 327.50, 13328330
11/06/18, 314.76, 320.22, 305.30, 310.84, 9710424
11/05/18, 311.10, 317.53, 303.74, 315.44, 10283040
11/02/18, 318.00, 321.88, 308.33, 309.10, 13404650
11/01/18, 304.59, 318.45, 296.67, 317.38, 15121450
